id,name,canonical_description,property_group
1,Default,"The initial value of a control before it is changed by the user.",core
2,DelayOutput,"Set to true to delay action during text input.",core
3,DisplayMode,"Values can be Edit, View, or Disabled. Configures whether the control allows user input (Edit), only displays data (View) or is disabled (Disabled).  In View mode, input controls such as Text input, Drop down, Date Picker will only display the text value and will not render any interactive elements or decorations.  This makes them suitable to be displayed in Forms or as readable output.",core
4,Items,"The source of data that appears in a control such as a gallery, a list, or a chart.",core
5,OnChange,"Actions to perform when the user changes the value of a control (for example, by adjusting a slider).",core
6,OnSelect,"Actions to perform when the user taps or clicks a control.",core
7,Reset,"Whether a control reverts to its default value.  Also see the Reset function.",core
8,Text,"Text that appears on a control or that the user types into a control.",core
9,Tooltip,"Explanatory text that appears when the user hovers over a control.",core
10,Value,"The value of an input control.",core
11,Visible,"Whether a control appears or is hidden.",core
12,Font,"The name of the family of fonts in which text appears.",text
13,FontWeight,"The weight of the text in a control: Bold, Semibold, Normal, or Lighter.",text
14,Italic,"Whether the text in a control is italic.",text
15,Size,"The font size of the text that appears on a control.",text
16,Strikethrough,"Whether a line appears through the text that appears on a control.",text
17,Underline,"Whether a line appears under the text that appears on a control.",text
18,Align,"The location of text in relation to the horizontal center of its control.",text
19,LineHeight,"The distance between, for example, lines of text or items in a list.",text
20,VerticalAlign,"The location of text on a control in relation to the vertical center of that control.",text
21,BorderColor,"The color of a control's border.",color-border
22,BorderStyle,"Whether a control's border is Solid, Dashed, Dotted, or None.",color-border
23,BorderThickness,"The thickness of a control's border.",color-border
24,Color,"The color of text in a control.",color-border
25,"Drop Shadow","Adds shadow effects around the control.",color-border
26,Fill,"The background color of a control.",color-border
27,FocusedBorderColor,"The color of a control's border when it has focus.",color-border
28,FocusedBorderThickness,"The thickness of a control's border when it has focus.",color-border
29,DisabledBorderColor,"The color of a control's border if the control's DisplayMode property is set to Disabled.",color-border
30,DisabledColor,"The color of text in a control if its DisplayMode property is set to Disabled.",color-border
31,DisabledFill,"The background color of a control if its DisplayMode property is set to Disabled.",color-border
32,HoverBorderColor,"The color of a control's border when the user keeps the mouse pointer on that control.",color-border
33,HoverColor,"The color of the text in a control when the user keeps the mouse pointer on it.",color-border
34,HoverFill,"The background color of a control when the user keeps the mouse pointer on it.",color-border
35,PressedBorderColor,"The color of a control's border when the user taps or clicks that control.",color-border
36,PressedColor,"The color of text in a control when the user taps or clicks that control.",color-border
37,PressedFill,"The background color of a control when the user taps or clicks that control.",color-border
38,SelectionColor,"The text color of a selected item or items in a list or the color of the selection tool in a pen control.",color-border
39,SelectionFill,"The background color of a selected item or items in a list or a selected area of a pen control.",color-border
40,X,"The distance between the left edge of a control and the left edge of its parent container (screen if no parent container). For a Card control in a container that has multiple columns, this property determines the column in which the card appears.",size-location
41,Y,"The distance between the top edge of a control and the top edge of the parent container (screen if no parent container). For a Card control in a container that has multiple rows, this property determines the row in which the card appears.",size-location
42,Height,"The distance between a control's top and bottom edges.",size-location
43,AutoHeight,"Whether a control automatically changes its height to fit the size of its contents, given a fixed width.",size-location
44,Width,"The distance between a control's left and right edges.",size-location
45,WidthFit,"Whether a control automatically grows horizontally to fill any empty space of a container control such as an Edit form control. If multiple cards have this property set to true, the space is divided between them. For more information, see Understand data form layout.",size-location
46,Padding,"The distance between the text on an import or export button and the edges of that button.",size-location
47,PaddingBottom,"The distance between text in a control and the bottom edge of that control.",size-location
48,PaddingLeft,"The distance between text in a control and the left edge of that control.",size-location
49,PaddingRight,"The distance between text in a control and the right edge of that control.",size-location
50,PaddingTop,"The distance between text in a control and the top edge of that control.",size-location
51,RadiusBottomLeft,"The degree to which the bottom-left corner of a control is rounded.",size-location
52,RadiusBottomRight,"The degree to which the bottom-right corner of a control is rounded.",size-location
53,RadiusTopLeft,"The degree to which the top-left corner of a control is rounded.",size-location
54,RadiusTopRight,"The degree to which the top-right corner of a control is rounded.",size-location
55,BackgroundImage,"The name of an image file that appears in the background of a screen.",visual
56,Image,"The name of the image that appears in an image, audio, or microphone control.",visual
57,ImagePosition,"The position (Fill, Fit, Stretch, Tile, or Center) of an image in a screen or a control if it isn't the same size as the image.",visual
58,MaxAttachments,"The maximum number of files the control accepts.",
59,MaxAttachmentSize,"The maximum allowed file size in MB for each new attachment. 1 MB here is 1,000,000 bytes (10<sup>6</sup> B) or 1,000 KB.",
60,OnAddFile,"Actions to perform when the user adds a new file attachment.",
61,OnRemoveFile,"Actions to perform when the user deletes an existing attachment.",
62,OnUndoRemoveFile,"Actions to perform when the user restores a deleted attachment.",
63,AccessibleLabel,"Label for screen readers. Should describe the purpose of the attachments.",
64,AddAttachmentText,"The label text for the link used to add a new attachment.",
65,[DropTargetBackgroundColor],"The color of the control's drop target background.",
66,[DropTargetBorderColor],"The color of the control's drop target border.",
67,[DropTargetBorderStyle],"Whether the control's drop target border is Solid, Dashed, Dotted, or None.",
68,[DropTargetBorderThickness],"The thickness of the control's drop target border.",
69,[DropTargetTextColor],"The color of the control's drop target text.",
70,MaxAttachmentsText,"The text that replaces the ""Attach file"" link when the control contains the maximum number of files allowed.",
71,NoAttachmentsText,"Informational text shown to the user when there are no files attached.",
72,TabIndex,"Keyboard navigation order in relation to other controls.",
73,Loop,"Whether an audio or video clip automatically starts over as soon as it finishes playing.",
74,Media,"An identifier for the clip that an audio or video control plays.",
75,ShowControls,"Whether an audio or video player shows, for example, a play button and a volume slider, and a pen control shows, for example, icons for drawing, erasing, and clearing.",
76,AutoPause,"Whether an audio or video clip automatically pauses if the user navigates to a different screen.",
77,AutoStart,"Whether an audio or video control automatically starts to play a clip when the user navigates to the screen that contains that control.",
78,ClosedCaptionsUrl,"Video control only.  URL of closed captions file in WebVTT format.  Both video and captions URLs must be HTTPS. Server hosting both video and captions file needs to be CORS enabled.",
79,OnEnd,"Actions to perform when an audio or video clip finishes playing.",
80,OnPause,"Actions to perform when the user pauses the clip that an audio or video control is playing.",
81,OnStart,"Actions to perform when the user starts to record with a microphone control.",
82,Paused,"True if a media playback control is currently paused, false otherwise.",
83,Start,"Whether an audio or video clip plays.",
84,StartTime,"The time after the start of an audio or video clip when the clip starts to play.",
85,Time,"A media control's current position.",
86,Barcodes,"Output property that contains a table of the barcodes scanned with two columns: Value, and Type. Value is the text value of the code that was scanned, while Type is the type of the code that was scanned.",
87,OnScan,"Actions to perform when a barcode is successfully scanned.",
88,OnCancel,"Actions to perform when a barcode scan is canceled by the user.",
89,BarcodeType,"The barcode type to scan. You can target multiple barcode types by concatenating them. Ex. `'Microsoft.BarcodeReader.BarcodeType'.Code128 & 'Microsoft.BarcodeReader.BarcodeType'.Code39`.  Default: Auto",
90,"Scanning mode","Whether to `Automatically scan` the first barcode detected in view, to allow the user to `Select to scan` which of the barcodes in view to scan, or to `Scan multiple` barcodes in a single session. On Windows, the barcode reader will always `Automatically scan`.",
91,"Scanning quality","The image quality the barcode reader scans at. A higher quality is good for small barcodes, but could lead to slow performance. On Windows, the barcode reader will always scan at the device's camera quality. Default: Automatic.",
92,PreferFrontCamera,"If enabled the barcode reader will default to using the front facing camera instead of the rear facing camera.",
93,BeepOnScan,"If enabled, the barcode reader will play a beep noise when a barcode is scanned.",
94,VibrateOnScan,"If enabled, the barcode reader will vibrate when a barcode is scanned.",
95,Camera,"On a device that has more than one camera, the numeric ID of the camera that the app uses for scanning barcodes.",
96,ShowLiveBarcodeDetection,"Whether visual cues are shown to indicate the status of barcode detection. Yellow rectangles represent areas that are being examined. A green line across a rectangle indicates successful barcode identification.",
97,Stream,"Automatically updated image based on the StreamRate property.",
98,StreamRate,"How often to update the image on the Stream property, in milliseconds.  This value can range from 100 (1/10th of a second) to 3,600,000 (1 hour).",
99,AutoDisableOnSelect,"Automatically disables the control while the OnSelect behavior is running.",
100,ContentLanguage,"The language of the control's content, if different from the control's container.",
101,Pressed,"True while a control is being pressed, false otherwise.",
102,AvailableDevices,"Table of the available cameras on the device.",
103,OnStream,"Actions to perform when the Stream property is updated.",
104,Photo,"The image captured when the user takes a picture.",
105,Brightness,"How much light the user is likely to perceive in an image.",
106,Contrast,"How easily the user can distinguish between similar colors in an image.",
107,DataField,"The name of the field within a record that this card displays and edits.",
108,DisplayName,"The user friendly name for a field in a data source.",
109,Error,"The user friendly error message to display for this field when validation fails.",
110,Required,"Whether a card, editing the field of a data source, must contain a value.",
111,Update,"The value to write back to the data source for a field.",
112,Valid,"Whether a Card or Edit form control contains valid entries, ready to be submitted to the data source.",
113,CheckboxBackgroundFill,"The background color of the box that surrounds the checkmark in a checkbox control.",
114,CheckboxBorderColor,"The color of the border that surrounds the checkmark in a checkbox control.",
115,CheckboxSize,"The width and height of the box that surrounds the checkmark in a checkbox control.",
116,CheckmarkFill,"The color of the checkmark in a checkbox control.",
117,OnCheck,"Actions to perform when the value of a checkbox or a toggle changes to true.",
118,OnUncheck,"Actions to perform when the value of a checkbox or a toggle changes to false.",
119,DefaultSelectedItems,"The initial selected item(s) before the user interacts with the control.",
120,SelectedItems,"List of selected items resulting from user interaction.",
121,Selected,"The last selected item resulting from user interaction.",
122,SelectMultiple,"Whether the user can select a single item or multiple items.",
123,IsSearchable,"Whether the user can search for items before selecting.",
124,SearchFields,"The data fields of the data source searched when user is entering text.",
125,DisplayFields,"List of fields shown for each item returned by the search.  Easiest to configure via the Data pane in the Properties option tab.",
126,InputTextPlaceholder,"Instructional text shown to end users when no items are selected.",
127,OnNavigate,"Actions to perform when the user selects an item.",
128,DefaultDate,"The initial value of a date control unless the user changes it.",
129,SelectedDate,"The date currently selected in a date control.  This date is represented in local time.",
130,Format,"The text format in which the control shows the date and the user specifies the date. You can set this property to ShortDate (default) or LongDate to format dates based on the Language property of this control. You can also set this property to an expression, such as yyyy/mm/dd if you want the same format regardless of language. For example:",
131,Language,"Determines the language that's used to format dates, including names of months. If this property isn't specified, the user's device setting determines the language. Supported values include ""EN-us"" and ""FR"".",
132,DateTimeZone,"Whether to display the date in UTC or the user's Local time.",
133,EndYear,"The latest year to which the user can set value of a date-picker control.",
134,IconFill,"The foreground color of a the date picker icon.",
135,IconBackground,"The background color of a the date picker icon.",
136,IsEditable,"Whether the Date Picker text can be edited. If false, the date can only be changed by using the calendar.",
137,StartOfWeek,"The day of the week to display in the first day column of the date-picker control.",
138,StartYear,"The earliest year to which the user can set the value of a date-picker control.",
139,AllowEmptySelection,"Whether the control can have no selected items. When false, there will always be a selected item, which will initially be the Default or the first item.",
140,ChevronBackground,"The color behind the down arrow in a dropdown list.",
141,ChevronFill,"The color of the down arrow in a dropdown list.",
142,"SelectedText (Deprecated)","A string value that represents the selected item. Use Dropdown1.SelectedText.Value instead, replacing ""Dropdown1"" with drop-down control name in the app.",
143,Data,"The name of a collection that you want to export to a local file.",
144,DataSource,"The data source that contains the record that the user will show, edit, or create.",
145,DefaultMode,"The initial mode of the form control.  See the description of Mode below for the acceptable values and their meanings.",
146,ErrorKind,"If an error occurs when SubmitForm runs, the kind of error that occurred.",
147,Item,"The record in the DataSource that the user will show or edit.",
148,LastSubmit,"The last successfully submitted record, including any server generated fields.",
149,Mode,"The control is in Edit or New mode.",
150,OnFailure,"Actions to perform when a data operation has been unsuccessful.",
151,OnReset,"Actions to perform when an Edit form control is reset.",
152,OnSuccess,"Actions to perform when a data operation has been successful.",
153,Unsaved,"True if the Edit form control contains user changes that have not been saved.",
154,Updates,"The values to write back to the data source for a record loaded in a form control.",
155,AllItems,"Items that are loaded in the gallery. This may be less than the actual number of Items of the data source. More items may be loaded when the gallery is scrolled. AllItems also contains controls that are used in each gallery item.",
156,AllItemsCount,"Count of items that are loaded in the gallery. This may be less than the actual number of Items of the data source. More items may be loaded when the gallery is scrolled.",
157,DelayItemLoading,"Delay loading of items (rows) until after the screen first loads.",
158,ItemAccessibleLabel,"Label of each gallery item for screen readers. Should describe what each item is.",
159,LoadingSpinnerColor,"The fill color of the loading spinner.  Default is set to BorderColor.",
160,NavigationStep,"How far a gallery scrolls if its ShowNavigation property is set to true and the user selects a navigation arrow at either end of that gallery.",
161,Selectable,"Whether gallery items can be selected. When set to true, screen readers identify the gallery as a selectable list. And you select an item by selecting it. When set to false, screen readers identify the gallery as a regular list, and selecting an item doesn't select it.",
162,ShowNavigation,"Whether an arrow appears at each end of a gallery so that a user can scroll through the items in the gallery by selecting an arrow.",
163,ShowScrollbar,"Whether a scrollbar appears when the user hovers over a gallery.",
164,TemplateFill,"The background color of a gallery.",
165,TemplatePadding,"The distance between items in a gallery.",
166,TemplateSize,"The height of the template for a gallery in vertical/portrait orientation. Or the width of the template for a gallery in horizontal/landscape orientation. The minimum size is one.",
167,Transition,"The visual effect (Pop, Push, or None) when the user hovers over an item in a gallery.",
168,WrapCount,"Number of items shown per row or column based on horizontal or vertical layout.",
169,HtmlText,"Text that appears in an HTML text control and that may contain HTML tags.",
170,ApplyEXIFOrientation,"Whether to automatically apply the orientation specified in the EXIF data embedded with the image.",
171,CalculateOriginalDimensions,"Enables the OriginalHeight and OriginalWidth properties.",
172,FlipHorizontal,"Whether to flip the image horizontally before displaying it.",
173,FlipVertical,"Whether to flip the image vertically before displaying it.",
174,ImageRotation,"How to rotate the image before displaying it.  Values can be none, clockwise (CW) 90 degrees, counter-clockwise (CCW) 90 degrees and clockwise 180 degrees.",
175,OriginalHeight,"Original height of an image, enabled with the CalculateOriginalDimensions property.",
176,OriginalWidth,"Original width of an image, enabled with the CalculateOriginalDimensions property.",
177,Transparency,"The degree to which controls behind an image remain visible. Decimal values range from 0 to 1.  Where 0 is opaque, 0.5 is semi-transparent and 1 is transparent.",
178,ItemPaddingLeft,"The distance between text in a listbox and its left edge.",
179,SelectedItemsText,"Read-only. Represents a datatable of selected items text for a multiselect listbox.",
180,Audio,"The audio clip captured when the user records with the device's microphone.",
181,Mic,"Numeric ID of the microphone on a device that has more than one microphone.",
182,OnStop,"Actions to perform when the user stops recording with a microphone control.",
183,Type,"Output property that contains the type of the code that was scanned most recently.",
184,FlashlightEnabled,"Whether the flashlight is enabled automatically when the scanner is opened.",
185,Document,"The URL, enclosed in double-quotation marks, of a PDF file.",
186,ActualZoom,"The actual zoom of the control, which might differ from the zoom requested with the Zoom property.",
187,CurrentFindText,"The current search term that is in use.",
188,CurrentPage,"The number of the page in a PDF file that is actually being shown.",
189,FindNext,"Finds the next instance of FindText in the document.",
190,FindPrevious,"Finds the previous instance of FindText in the document.",
191,FindText,"The search term to look for in the document.",
192,OnStateChange,"Actions to perform when the state of the control changes.",
193,Page,"The number of the page that you want to show.",
194,PageCount,"The number of pages in a document.",
195,Zoom,"The percentage by which an image from a camera is magnified or the view of a file in a PDF viewer.",
196,Input,"Deprecated. Whether the input supports mouse, pen, or touch inputs.  Default value (7) supports all three.",
197,SelectionThickness,"The thickness of the selection tool for a pen-input control.",
198,AllowNewAPI,"Whether to use the new API when calling the Power BI service. Setting the value to True will allow the use of the new Power BI API (which isn't supported in mobile and some embedded scenarios, but allows some more advanced filtering). False will use the original API. Default value is false.",
199,Dashboard,"The Power BI dashboard where the tile comes from.",
200,LoadPowerBIContent,"When set to True, the Power BI content is loaded and shown. When set to False, the Power BI content is unloaded, which releases memory and optimizes performance.",
201,PowerBIInteractions,"When set to True, the Power BI content can be interacted with, but Power Apps OnSelect event won't trigger. When set to False, the tile can't be interacted with, but Power Apps OnSelect event will trigger when the tile is selected.",
202,Tile,"The name of the Power BI tile that you want to display.",
203,Workspace,"The Power BI workspace where the tile comes from.",
204,TileUrl,"The URL by which the tile is requested from the Power BI service. To add query string filtering to your URL, see the filtering section above.",
205,Layout,"Whether the options are laid out vertically or horizontally.",
206,Max,"The maximum value to which the user can set a slider or a rating.",
207,RatingFill,"The color of the stars in a rating control.",
208,ReadOnly,"Whether a user can change the value of a slider or rating control.",
209,ShowValue,"Whether a slider's or rating's value appears as the user changes that value or hovers over the control.",
210,EnableSpellCheck,"Whether the browser spell checker is enabled. This feature only checks spelling in the browser's default language. Power Apps for Windows doesn't support this property.",
211,Name,"The name of the screen.",
212,OnHidden,"The behavior of an app when the user navigates away from a screen. If the Disable non-blocking App.OnStart rule is enabled in app settings, this property may need to wait until App.OnStart is finished executing. By default, this setting is turned on.",
213,OnVisible,"The behavior of an app when the user navigates to a screen.  Use this property to set up variables and preload data used by the screen.  Use the App.OnStart property for set up once when the app is started. If the non-blocking App.OnStart is enabled, the Screen.OnVisible event can run parallel with it. As a result, it's recommended to refrain from relying on variables or collections that are initialized by App.OnStart, as they might not be fully initialized.",
214,Orientation,"The orientation of the screen. If its Width is greater than its Height, the orientation will be Layout.Horizontal; otherwise, it will be Layout.Vertical.",
215,Min,"The minimum value to which the user can set a slider.",
216,HandleActiveFill,"The color of the handle for a slider as the user changes its value.",
217,HandleFill,"The color of the handle (the element that changes position) in a toggle or slider control.",
218,HandleHoverFill,"The color of the handle in a slider when the user keeps the mouse pointer on it.",
219,HandleSize,"The diameter of the handle.",
220,RailFill,"The background color of the rectangle in a toggle control when its value is false or the color of the line to the right of the handle in a slider control.",
221,RailHoverFill,"When you hover on a toggle control or a slider, the background color of the rectangle in a toggle control when its value is false or the color of the line to the right of the handle in a slider control.",
222,ValueFill,"The background color of the rectangle in a toggle control when its value is true or the color of the line to the left of the handle in a slider control.",
223,ValueHoverFill,"When you keep the mouse pointer on a toggle control or a slider, the background color of the rectangle in a toggle control when its value is true or the color of the line to the left of the handle in a slider control.",
224,Live,"How a screen reader announces changes to the value of the label's Text property.",
225,Overflow,"Whether a scrollbar appears in a label if its Wrap property is set to true and the value of the control's Text property contains more characters than the control can show at one time.",
226,Role,"The semantic role of the label text, such as Heading 1. Doesn't change the style of the label but makes the output semantically correct for interpretation by screen readers.",
227,Wrap,"Whether the text should ever wrap to multiple lines.",
228,Clear,"Whether a text-input control shows an ""X"" that the user can tap or click to clear the contents of that control. Only works in SingleLine mode.",
229,HintText,"Light-grey text that appears in an input-text control if it's empty.",
230,MaxLength,"The number of characters that the user can type into a text-input control.",
231,VirtualKeyboardMode,"Type of virtual keyboard, text or numeric, that appears on an app user's touch screen. The Format property determines the default value. Device support varies. Devices that are running iOS must have at least version 12.2. The recommended version of Android is 9.0, and capabilities of numeric keyboards vary for Android devices. Windows 10 doesn't support this property.",
232,`Duration`,"How long a timer runs in milliseconds. The maximum is 24 hours expressed in milliseconds. Default is 60 seconds.",
233,`OnTimerEnd`,"Actions to perform when a timer finishes running.",
234,`Repeat`,"Whether a timer automatically restarts when it finishes running.",
235,`Align`,"The location of text in relation to the horizontal center of its control.",
236,`AutoPause`,"Whether the timer control automatically pauses if the user navigates to a different screen.",
237,`AutoStart`,"Whether the timer control automatically starts to play when the user navigates to the screen that contains that control.",
238,`BorderColor`,"The color of a control's border.",
239,`BorderStyle`,"Whether a control's border is `Solid`, `Dashed`, `Dotted`, or `None`.",
240,`BorderThickness`,"The thickness of a control's border.",
241,`Color`,"The color of text in a control.",
242,`DisplayMode`,"Whether the control allows user input (`Edit`), only displays data (`View`), or is disabled (`Disabled`).",
243,`DisabledBorderColor`,"The color of a control's border if the control's `DisplayMode` property is set to `Disabled`.",
244,`DisabledColor`,"The color of text in a control if its `DisplayMode` property is set to `Disabled`.",
245,`DisabledFill`,"The background color of a control if its `DisplayMode` property is set to `Disabled`.",
246,`Fill`,"The background color of a control.",
247,`FocusedBorderColor`,"The color of a control's border when the control is focused.",
248,`FocusedBorderThickness`,"The thickness of a control's border when the control is focused.",
249,`Font`,"The name of the family of fonts in which text appears.",
250,`FontWeight`,"The weight of the text in a control: `Bold`, `Semibold`, `Normal`, or `Lighter`.",
251,`Height`,"The distance between a control's top and bottom edges.",
252,`HoverBorderColor`,"The color of a control's border when the user keeps the mouse pointer on that control.",
253,`HoverColor`,"The color of the text in a control when the user keeps the mouse pointer on it.",
254,`HoverFill`,"The background color of a control when the user keeps the mouse pointer on it.",
255,`Italic`,"Whether the text in a control is italic.",
256,`OnSelect`,"Actions to perform when the user taps or clicks a control.",
257,`OnTimerStart`,"Actions to perform when a timer starts to run.",
258,`PressedBorderColor`,"The color of a control's border when the user taps or clicks that control.",
259,`PressedColor`,"The color of text in a control when the user taps or clicks that control.",
260,`PressedFill`,"The background color of a control when the user taps or clicks that control.",
261,`Reset`,"Whether a control reverts to its default value.",
262,`Size`,"The font size of the text that appears on a control.",
