control_id,property_id,is_key,section,local_description
2,4,1,"Key properties","The Attachment column of the list or Dataverse table. Collections and Tables aren't supported."
2,58,1,"Key properties","The maximum number of files the control accepts."
2,59,1,"Key properties","The maximum allowed file size in MB for each new attachment. 1 MB here is 1,000,000 bytes (10<sup>6</sup> B) or 1,000 KB."
2,60,1,"Key properties","Actions to perform when the user adds a new file attachment."
2,61,1,"Key properties","Actions to perform when the user deletes an existing attachment."
2,62,1,"Key properties","Actions to perform when the user restores a deleted attachment."
2,63,0,"Additional properties","Label for screen readers. Should describe the purpose of the attachments."
2,64,0,"Additional properties","The label text for the link used to add a new attachment."
2,21,0,"Additional properties","The color of a control's border."
2,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
2,23,0,"Additional properties","The thickness of a control's border."
2,24,0,"Additional properties","The color of a control's text."
2,29,0,"Additional properties","The color of a control's border if the control's DisplayMode property is set to Disabled."
2,30,0,"Additional properties","The color of text in a control if its DisplayMode property is set to Disabled."
2,31,0,"Additional properties","The background color of a control if its DisplayMode property is set to Disabled."
2,3,0,"Additional properties","Whether the control allows adding and deleting files (Edit), only displays data (View), or is disabled (Disabled)."
2,65,0,"Additional properties","The color of the control's drop target background."
2,66,0,"Additional properties","The color of the control's drop target border."
2,67,0,"Additional properties","Whether the control's drop target border is Solid, Dashed, Dotted, or None."
2,68,0,"Additional properties","The thickness of the control's drop target border."
2,69,0,"Additional properties","The color of the control's drop target text."
2,26,0,"Additional properties","The background color of a control."
2,27,0,"Additional properties","The color of a control's border when the control is focused."
2,28,0,"Additional properties","The thickness of a control's border when the control is focused."
2,42,0,"Additional properties","The distance between a control's top and bottom edges."
2,12,0,"Additional properties","The name of the family of fonts in which text appears."
2,13,0,"Additional properties","The weight of the text in a control: Bold, Semibold, Normal, or Lighter."
2,32,0,"Additional properties","The color of a control's border when the user keeps the mouse pointer on that control."
2,33,0,"Additional properties","The color of the text in a control when the user keeps the mouse pointer on it."
2,34,0,"Additional properties","The background color of a control when the user keeps the mouse pointer on it."
2,14,0,"Additional properties","Whether the text in a control is italic."
2,70,0,"Additional properties","The text that replaces the ""Attach file"" link when the control contains the maximum number of files allowed."
2,71,0,"Additional properties","Informational text shown to the user when there are no files attached."
2,46,0,"Additional properties","The distance between the text on an import or export button and the edges of that button."
2,35,0,"Additional properties","The color of a control's border when the user selects that control."
2,36,0,"Additional properties","The color of text in a control when the user selects that control."
2,37,0,"Additional properties","The background color of a control when the user selects that control."
2,7,0,"Additional properties","Reverts all changes to the attachments control and returns to the previously saved state."
2,15,0,"Additional properties","The font size of the text that appears on a control."
2,16,0,"Additional properties","Whether a line appears through the text that appears on a control."
2,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
2,9,0,"Additional properties","Explanatory text that appears when the user hovers over a control."
2,17,0,"Additional properties","Whether a line appears under the text that appears on a control."
2,11,0,"Additional properties","Whether a control is visible or hidden."
2,44,0,"Additional properties","The distance between a control's left and right edges."
2,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (or screen, if no parent container)."
2,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (or screen, if no parent container)."
3,73,1,"Key properties","Whether an audio or video clip automatically starts over as soon as it finishes playing."
3,74,1,"Key properties","An identifier for the clip that an audio or video control plays."
3,75,1,"Key properties","Whether an audio or video player shows, for example, a play button and a volume slider, and a pen control shows, for example, icons for drawing, erasing, and clearing."
3,63,0,"Additional properties","Label for screen readers. Should be the title of the video or audio clip."
3,76,0,"Additional properties","Whether an audio or video clip automatically pauses if the user navigates to a different screen."
3,77,0,"Additional properties","Whether an audio or video control automatically starts to play a clip when the user navigates to the screen that contains that control."
3,21,0,"Additional properties","The color of a control's border."
3,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
3,23,0,"Additional properties","The thickness of a control's border."
